label,quality_estimate,total_videos,evaluation_videos,balanced_train_videos,unbalanced_train_videos,evaluation_hours,balanced_train_hours,unbalanced_train_hours
Slam,20.0,845,60,61,724,2.2,0.2,0.2
Eruption,20.0,797,60,60,677,2.2,0.2,0.2
Cap gun,20.0,671,60,60,551,1.9,0.2,0.2
Synthetic singing,20.0,650,60,60,530,1.8,0.2,0.2
Shuffle,20.0,570,60,60,450,1.6,0.2,0.2
Wind chime,20.0,567,60,60,447,1.6,0.2,0.2
Chop,20.0,434,60,60,314,1.2,0.2,0.2
Scrape,20.0,417,60,60,297,1.1,0.2,0.2
Squish,20.0,376,60,60,256,1.0,0.2,0.2
Foghorn,20.0,218,60,60,98,0.6,0.2,0.2
"Dental drill, dentist's drill",20.0,182,60,60,62,0.5,0.2,0.2
Harmonic,16.67,747,60,60,627,2.1,0.2,0.2
Static,12.5,526,60,60,406,1.4,0.2,0.2
"Sailboat, sailing ship",11.11,2680,60,60,2560,7.4,0.2,0.2
"Cutlery, silverware",11.11,874,60,60,754,2.4,0.2,0.2
Gears,11.11,616,60,60,496,1.7,0.2,0.2
Chopping (food),11.11,206,60,60,86,0.6,0.2,0.2
Creak,11.11,149,60,60,29,0.4,0.2,0.2
Fusillade,10.0,1649,60,61,1528,4.6,0.2,0.2
Roll,0.0,2048,60,60,1928,5.7,0.2,0.2
Electronic tuner,0.0,1439,60,60,1319,4.0,0.2,0.2
Patter,0.0,710,60,60,590,2.0,0.2,0.2
Electronic music,-1.0,38958,60,109,38789,108.2,0.2,0.3
Dubstep,-1.0,18695,94,60,18541,51.9,0.3,0.2
Techno,-1.0,17264,95,60,17109,47.9,0.3,0.2
Rock and roll,-1.0,9321,86,60,9175,25.9,0.2,0.2
Pop music,-1.0,8813,89,63,8661,24.5,0.2,0.2
Rock music,-1.0,8475,92,69,8314,23.5,0.3,0.2
Hip hop music,-1.0,7745,66,61,7618,21.5,0.2,0.2
Classical music,-1.0,6874,61,60,6753,19.1,0.2,0.2
Soundtrack music,-1.0,6630,60,60,6510,18.4,0.2,0.2
House music,-1.0,6609,62,60,6487,18.4,0.2,0.2
Heavy metal,-1.0,6459,69,60,6330,17.9,0.2,0.2
Exciting music,-1.0,5638,60,60,5518,15.6,0.2,0.2
Country,-1.0,5530,61,60,5409,15.4,0.2,0.2
Electronica,-1.0,5441,87,60,5294,15.1,0.2,0.2
Rhythm and blues,-1.0,5133,65,61,5007,14.3,0.2,0.2
Background music,-1.0,4956,61,60,4835,13.8,0.2,0.2
Dance music,-1.0,4930,86,62,4782,13.7,0.2,0.2
Jazz,-1.0,4930,60,60,4810,13.7,0.2,0.2
Mantra,-1.0,4904,60,61,4783,13.6,0.2,0.2
Blues,-1.0,4768,63,62,4643,13.2,0.2,0.2
Trance music,-1.0,4473,60,60,4353,12.4,0.2,0.2
Electronic dance music,-1.0,4453,87,67,4299,12.4,0.2,0.2
Theme music,-1.0,4342,61,61,4220,12.0,0.2,0.2
Gospel music,-1.0,4287,61,62,4164,11.9,0.2,0.2
Music of Latin America,-1.0,4141,60,60,4021,11.5,0.2,0.2
Disco,-1.0,4137,62,64,4011,11.5,0.2,0.2
Tender music,-1.0,4091,60,60,3971,11.4,0.2,0.2
Punk rock,-1.0,4074,64,61,3949,11.3,0.2,0.2
Funk,-1.0,4065,61,60,3944,11.3,0.2,0.2
Music of Asia,-1.0,3924,65,64,3795,10.9,0.2,0.2
Drum and bass,-1.0,3753,77,60,3616,10.4,0.2,0.2
Vocal music,-1.0,3672,73,60,3539,10.2,0.2,0.2
Progressive rock,-1.0,3529,68,62,3399,9.8,0.2,0.2
Music for children,-1.0,3511,62,60,3389,9.7,0.2,0.2
Video game music,-1.0,3369,60,60,3249,9.3,0.2,0.2
Lullaby,-1.0,3247,60,60,3127,9.0,0.2,0.2
Reggae,-1.0,3229,60,62,3107,9.0,0.2,0.2
New-age music,-1.0,3162,60,60,3042,8.8,0.2,0.2
Christian music,-1.0,3118,60,66,2992,8.7,0.2,0.2
Independent music,-1.0,3019,63,62,2894,8.4,0.2,0.2
Soul music,-1.0,2930,70,61,2799,8.1,0.2,0.2
Music of Africa,-1.0,2907,95,60,2752,8.1,0.3,0.2
Ambient music,-1.0,2835,60,60,2715,7.9,0.2,0.2
Bluegrass,-1.0,2722,62,60,2600,7.6,0.2,0.2
Afrobeat,-1.0,2704,65,60,2579,7.5,0.2,0.2
Salsa music,-1.0,2559,60,62,2437,7.1,0.2,0.2
Music of Bollywood,-1.0,2525,60,60,2405,7.0,0.2,0.2
Beatboxing,-1.0,2483,61,60,2362,6.9,0.2,0.2
Flamenco,-1.0,2365,61,60,2244,6.6,0.2,0.2
Psychedelic rock,-1.0,2296,59,60,2177,6.4,0.2,0.2
Opera,-1.0,2277,60,60,2157,6.3,0.2,0.2
Folk music,-1.0,2220,61,60,2099,6.2,0.2,0.2
Christmas music,-1.0,2138,60,61,2017,5.9,0.2,0.2
Middle Eastern music,-1.0,2088,60,60,1968,5.8,0.2,0.2
Grunge,-1.0,2018,61,61,1896,5.6,0.2,0.2
Song,-1.0,1979,164,77,1738,5.5,0.5,0.2
A capella,-1.0,1917,61,60,1796,5.3,0.2,0.2
Sad music,-1.0,1770,60,60,1650,4.9,0.2,0.2
Traditional music,-1.0,1754,60,60,1634,4.9,0.2,0.2
Scary music,-1.0,1737,60,60,1617,4.8,0.2,0.2
Ska,-1.0,1722,59,61,1602,4.8,0.2,0.2
Chant,-1.0,1714,60,60,1594,4.8,0.2,0.2
Carnatic music,-1.0,1663,63,61,1539,4.6,0.2,0.2
Swing music,-1.0,1638,60,60,1518,4.5,0.2,0.2
Happy music,-1.0,1459,60,61,1338,4.1,0.2,0.2
Jingle (music),-1.0,1438,60,60,1318,4.0,0.2,0.2
Funny music,-1.0,1155,60,60,1035,3.2,0.2,0.2
Angry music,-1.0,1105,60,60,985,3.1,0.2,0.2
Wedding music,-1.0,811,60,60,691,2.3,0.2,0.2
Engine knocking,-1.0,718,63,60,595,2.0,0.2,0.2
